promotion_id,title,discount,description,expiry,url
PR0001,FPT Shop cam kết thu cũ iPhone giá tốt - Chênh là bù ngay,85%,"Lý do chọn FPT Shop để thu cũ iPhone

Cam kết ""Bao Giá"" - Thấp hơn là bù tiền: Bạn có thể nâng cấp iPhone với cảm giác yên tâm tuyệt đối khi chọn FPT Shop. Nếu bạn có giấy báo giá (có đóng dấu xác thực) từ các chuỗi cửa hàng khác cao hơn FPT Shop, mang đến đây, chúng tôi sẽ bù ngay phần tiền chênh lệch vào đơn hàng của bạn. Đây là lời cam kết rõ ràng để bạn luôn nhận đúng giá trị của thiết bị.

Thu nhận mọi tình trạng máy: Máy nát đổi máy mới là chính sách hiếm có và gần như chỉ tìm thấy tại FPT",08/03/2012,https://fptshop.com.vn/tin-tuc/tin-khuyen-mai/fpt-shop-cam-ket-thu-cu-iphone-gia-tot-nhat-chenh-la-bu-ngay-194751
PR0002,"Reno Planet đổ bộ FPT Shop 121 Lê Lợi: Check-in nhận gấu bông Ollie xinh xắn, tham gia Lucky Draw trúng Reno16 F",,"Thời gian và địa điểm diễn ra hoạt động

Thời gian: Từ ngày 27/06 đến ngày 04/07/2026.

Địa điểm: Cửa hàng FPT Shop 121 Lê Lợi, phường Bến Thành, TP.HCM.

Cơ cấu giải thưởng

Quà Nhập Hội

Dành cho khách hàng hoàn thành đầy đủ các bước tham gia tại Reno Planet, FPT Shop 121 Lê Lợi.
01 gấu bông Ollie.
Số lượng quà tặng có giới hạn mỗi ngày.

Quà Cư Dân May Mắn

Dành cho khách hàng trúng giải Lucky Draw.
04 tai nghe OPPO Enco Buds3 Pro.
01 điện thoại OPPO Reno16 F phiên bản 8 GB + 256 GB.

Cách th",04/07/2026,https://fptshop.com.vn/tin-tuc/tin-khuyen-mai/the-le-chuong-trinh-reno-planet-208672
PR0003,"Mạng di động FPT ra mắt gói cước World Cup, tặng 60 GB data mỗi tháng và tài khoản VTV Go 180 ngày",,"Chi tiết gói cước World Cup dành cho thuê bao của Mạng di động FPT

Mạng di động FPT vừa giới thiệu gói cước World Cup dành cho thuê bao FPT, hướng đến người dùng có nhu cầu xem bóng đá trực tuyến thường xuyên trong mùa giải. Gói cước đi kèm 2 GB data mỗi ngày, tương đương 60 GB mỗi tháng, đủ để người dùng lướt web, dùng mạng xã hội, cập nhật tỷ số, xem video và theo dõi các nội dung liên quan đến World Cup ngay trên điện thoại.

Điểm đáng chú ý của gói cước là tặng tài khoản VTV Go 180 ngày, tư",08/03/2012,https://fptshop.com.vn/tin-tuc/tin-khuyen-mai/mang-di-dong-fpt-ra-mat-goi-cuoc-world-cup-208454
PR0004,"Điểm càng cao, giảm càng sâu: FPT Shop giảm thêm đến 10% cho tân sinh viên, học sinh, sinh viên và giáo viên",10%,"Điều kiện chương trình
Thời gian: Từ ngày 15/6 đến 31/10/2026.
Sản phẩm: Laptop, PC, màn hình LCD và máy in.
Nhóm khách hàng áp dụng: Tân sinh viên, học sinh, sinh viên và giáo viên.
Điểm càng cao, ưu đãi càng sâu cho tân sinh viên

Với nhóm tân sinh viên, FPT Shop áp dụng chính sách ưu đãi theo điểm trung bình. Điểm càng cao, mức giảm càng lớn, cụ thể:

Điểm trung bình dưới hoặc bằng 7: Giảm thêm 5%.
Điểm trung bình trên 7 đến 8: Giảm thêm 6%.
Điểm trung bình trên 8 đến 9: Giảm thêm 7%.
Điểm tr",31/10/2026,https://fptshop.com.vn/tin-tuc/tin-khuyen-mai/diem-cang-cao-giam-cang-sau-208098
PR0005,"Thay pin iPhone chính hãng Apple tại F.Care, giảm ngay 200.000 đồng",,"Chi tiết chương trình
Thời gian: Từ ngày 01/06/2026 đến 30/06/2026
Nội dung ưu đãi: Giảm 200.000 đồng/lần thay pin iPhone so với giá niêm yết
Phạm vi áp dụng: Khách hàng gửi máy thay pin trực tiếp tại F.Care hoặc gửi qua FPT Shop/F.Studio by FPT.
Bảng giá thay pin iPhone tại F.Care

Dòng máy

	

Giá gốc

	

Giá khuyến mại



iPhone 17 Pro Max
iPhone 17 Pro
iPhone Air
	

2.400.000

	

2.200.000



iPhone 16 Pro Max
iPhone 16 Pro
	

2.300.000

	

2.100.000



iPhone 17/iPhone 17e
iPhone 16 Plus/iP",01/06/2026,https://fptshop.com.vn/tin-tuc/tin-khuyen-mai/thay-pin-iphone-chinh-hang-apple-tai-fcare-207780
PR0006,Hướng dẫn sử dụng voucher Sendo Farm dành cho khách hàng FPT Shop,50%,"Chi tiết voucher Sendo Farm
Ưu đãi: Voucher giảm 50%, tối đa 50.000 đồng cho đơn hàng mua thực phẩm tươi sống tại Siêu Thị Online FPT Sendo Farm.
Thời gian áp dụng: Từ ngày 27/05/2026 đến hết ngày 30/06/2026.
Cách sử dụng voucher Sendo Farm

Bước 1: Truy cập Zalo Mini App FPT Sendo Farm

Mở Zalo Mini App qua đường dẫn: https://zalo.me/s/4242329462803594057.

Bước 2: Chọn sản phẩm

Chọn các sản phẩm cần mua trong ngành hàng Tươi sống và bấm “Đặt mua”.

Bước 3: Đăng ký hoặc đăng nhập tài khoản

Đă",27/05/2026,https://fptshop.com.vn/tin-tuc/tin-khuyen-mai/huong-dan-su-dung-voucher-sendo-farm-danh-cho-khach-hang-fpt-shop-207772
PR0007,"Deal ngày nghỉ, vui hết ý: Mua laptop, PC tại FPT Shop TP.HCM, nhận voucher giảm thêm đến 1 triệu đồng",0%,"Điều kiện chương trình
Thời gian nhận voucher: Từ ngày 19/06 đến ngày 21/6/2026.
Thời hạn sử dụng voucher: Đến hết ngày 30/06/2026.
Sản phẩm áp dụng: Tất cả laptop, PC đang kinh doanh tại FPT Shop.
Hình thức: Khách hàng đến trực tiếp cửa hàng FPT Shop khu vực TP.HCM trong danh sách bên dưới để nhận voucher.
Chi tiết ưu đãi

Voucher “Deal ngày nghỉ, vui hết ý” được áp dụng theo từng mức giá sản phẩm. Cách chia ưu đãi theo từng phân khúc giúp khách hàng dễ chọn thiết bị phù hợp với ngân sách và nh",21/6/2026,https://fptshop.com.vn/tin-tuc/tin-khuyen-mai/deal-het-y-cho-ngay-nghi-208116
PR0008,"Mua Galaxy Watch Ultra 2 cùng điện thoại Samsung, giảm ngay 2 triệu đồng tại FPT Shop",,"Chi tiết chương trình
Thời gian áp dụng: Từ ngày 01/8/2026 đến hết ngày 31/8/2026.
Sản phẩm đồng hồ áp dụng: Galaxy Watch Ultra 2.
Ưu đãi: Giảm 2.000.000 đồng khi mua Galaxy Watch Ultra 2 cùng điện thoại Samsung Galaxy thuộc danh sách chương trình.
Điều kiện kích hoạt: Khách hàng cần mua sản phẩm và kích hoạt bảo hành MCS trong thời gian diễn ra chương trình.
Phạm vi áp dụng: Toàn hệ thống FPT Shop, bao gồm cửa hàng và kênh Online.
Danh sách điện thoại Samsung Galaxy áp dụng

STT

	

Sản phẩm

	",01/8/2026,https://fptshop.com.vn/tin-tuc/tin-khuyen-mai/mua-galaxy-watch-ultra-2-cung-dien-thoai-samsung-giam-ngay-2-trieu-dong-210070
PR0009,"Mua Galaxy Watch9, Galaxy Watch Ultra 2 tại FPT Shop, nhận ưu đãi 1 triệu đồng, trả góp đến 24 tháng",,"Chi tiết chương trình ưu đãi
Thời gian áp dụng: Từ ngày 22/7/2026 đến hết ngày 31/7/2026.
Sản phẩm áp dụng: Galaxy Watch9 và Galaxy Watch Ultra 2 thuộc danh sách của chương trình.
Mức ưu đãi: 1.000.000 đồng.
Điều kiện áp dụng: Khách hàng cần hoàn tất mua hàng và kích hoạt bảo hành MCS cho sản phẩm trong thời gian diễn ra chương trình.
Phạm vi áp dụng: Toàn hệ thống FPT Shop, bao gồm cửa hàng và kênh Online.
Danh sách sản phẩm thuộc chương trình
Mã sản phẩm	

Tên sản phẩm

	Phiên bản


SM-L340

	",31/7/2026,https://fptshop.com.vn/tin-tuc/tin-khuyen-mai/mua-galaxy-watch9-galaxy-watch-ultra-2-giam-1-trieu-dong-tra-gop-den-24-thang-210067
PR0010,"Mua Galaxy Watch mới tại FPT Shop, nhận miễn phí gói nâng cấp Strava trong 60 ngày",,"Chi tiết chương trình
Thời gian áp dụng: Từ ngày 22/7/2026 đến hết ngày 31/8/2026.
Sản phẩm áp dụng: Galaxy Watch9 và Galaxy Watch Ultra 2.
Nội dung ưu đãi: Tặng 60 ngày sử dụng miễn phí gói nâng cấp ứng dụng Strava.
Điều kiện nhận ưu đãi: Khách hàng mua Galaxy Watch9 hoặc Galaxy Watch Ultra 2 và hoàn tất kích hoạt bảo hành MCS trong thời gian diễn ra chương trình.
Điều khoản áp dụng
Ưu đãi áp dụng trên toàn cầu, ngoại trừ Belarus, Trung Quốc, Cuba, Iran, Triều Tiên, Nga, Syria, Hàn Quốc và các ",31/8/2026,https://fptshop.com.vn/tin-tuc/tin-khuyen-mai/mua-galaxy-watch-moi-tai-fpt-shop-nhan-mien-phi-goi-nang-cap-strava-trong-60-ngay-210064
